City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Faanui,PF,-16.4833,-151.75,78.39,73,100,16.89,overcast clouds
79,Borskoye,RU,53.0333,51.7167,51.46,65,52,5.99,broken clouds
80,Smolyaninovo,RU,43.2956,132.4675,72.86,52,0,8.77,clear sky
81,Ayagoz,KZ,47.9714,80.4392,48.54,70,3,15.7,clear sky
82,Hasaki,JP,35.7333,140.8333,86.4,83,100,11.1,overcast clouds
83,Asau,RO,46.4333,26.4,61.72,77,0,3.18,clear sky
84,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,87,100,10.36,overcast clouds
85,Coihaique,CL,-45.5752,-72.0662,45.21,81,92,2.3,light rain
86,Piney Green,US,34.716,-77.3202,76.91,100,75,5.75,broken clouds
87,Touros,BR,-5.1989,-35.4608,74.61,80,5,17.25,clear sky
88,Mataura,NZ,-46.1927,168.8643,59.49,49,80,4.29,broken clouds
89,La Ronge,CA,55.1001,-105.2842,67.84,62,0,4.45,clear sky
90,Ilulissat,GL,69.2167,-51.1,41.02,60,75,6.91,broken clouds
91,Sanary-Sur-Mer,FR,43.1178,5.8001,74.61,59,0,1.99,clear sky
92,Celestun,MX,20.8667,-90.4,80.15,86,84,10.2,broken clouds
93,Taoudenni,ML,22.6783,-3.9836,95.77,28,88,7.52,overcast clouds
94,Hermanus,ZA,-34.4187,19.2345,50.81,70,78,22.64,light rain
95,Morro Bay,US,35.3658,-120.8499,72.21,1,18,5.99,few clouds
96,Qaanaaq,GL,77.484,-69.3632,32.0,76,22,3.49,few clouds
97,Canico,PT,32.6333,-16.85,70.43,81,40,8.05,scattered clouds
98,Srednekolymsk,RU,67.45,153.6833,69.01,44,100,15.43,overcast clouds
99,Nannilam,IN,10.8793,79.6106,79.54,80,100,8.23,heavy intensity rain
100,Atuona,PF,-9.8,-139.0333,76.89,70,12,16.71,few clouds
101,Olinda,BR,-8.0089,-34.8553,74.93,73,75,6.91,broken clouds
102,Orapa,BW,-21.2833,25.3667,48.63,39,10,10.74,clear sky
103,Guarapari,BR,-20.6667,-40.4975,66.88,88,100,21.63,overcast clouds
104,Lufilufi,WS,-13.8745,-171.5986,85.78,57,1,8.84,clear sky
105,Mar Del Plata,AR,-38.0023,-57.5575,52.88,69,0,12.66,clear sky
106,Inhambane,MZ,-23.865,35.3833,65.28,80,21,10.76,few clouds
107,Hilo,US,19.7297,-155.09,84.27,84,75,5.75,broken clouds
108,Deputatskiy,RU,69.3,139.9,62.42,59,62,13.0,broken clouds
109,Maltahohe,NA,-24.8333,16.9833,43.09,55,9,8.81,clear sky
110,Porbandar,IN,21.6422,69.6093,80.38,85,100,14.2,overcast clouds
111,Barguzin,RU,53.6167,109.6167,55.74,66,57,5.61,broken clouds
112,Rio Grande,BR,-32.035,-52.0986,46.87,62,0,3.89,clear sky
113,Port Elizabeth,ZA,-33.918,25.5701,52.11,89,80,17.0,moderate rain
114,Naze,JP,28.3667,129.4833,83.73,77,100,15.57,overcast clouds
115,Vaini,TO,-21.2,-175.2,75.36,83,20,11.5,few clouds
116,Chak,PK,27.8575,68.8329,75.69,95,100,16.96,overcast clouds
117,Zhigansk,RU,66.7697,123.3711,47.35,76,100,16.2,overcast clouds
118,Puerto Ayora,EC,-0.7393,-90.3518,67.55,98,98,5.01,overcast clouds
119,Daru,PG,-9.0763,143.2092,79.07,70,97,12.71,overcast clouds
120,Buzmeyin,TM,38.0507,58.2056,77.72,16,0,3.85,clear sky
121,Lebu,CL,-37.6167,-73.65,50.23,92,34,17.27,scattered clouds
122,Provideniya,RU,64.3833,-173.3,48.04,75,77,7.96,broken clouds
123,Nueve De Julio,AR,-35.4444,-60.8831,44.96,57,4,3.0,clear sky
124,Sorland,NO,67.667,12.6934,53.46,92,12,6.04,few clouds
125,Pinega,RU,64.7001,43.3936,61.65,83,88,6.53,overcast clouds
126,Solwezi,ZM,-12.1688,26.3894,61.09,33,0,0.85,clear sky
127,Nuuk,GL,64.1835,-51.7216,43.41,75,75,12.66,broken clouds
128,Yar-Sale,RU,66.8333,70.8333,46.06,74,2,18.97,clear sky
129,Krasnoselkup,RU,65.7,82.4667,48.16,91,100,19.15,overcast clouds
130,Kapit,MY,2.0167,112.9333,84.78,73,57,2.06,broken clouds
131,Moba,CN,33.2288,105.0179,73.31,76,33,6.17,scattered clouds
132,Laje,BR,-10.1833,-40.9667,67.82,68,23,10.54,few clouds
133,Iqaluit,CA,63.7506,-68.5145,41.7,81,70,5.99,broken clouds
134,Talnakh,RU,69.4865,88.3972,47.21,86,99,2.82,overcast clouds
135,Weiser,US,44.251,-116.9693,97.32,32,8,3.02,clear sky
136,Cherskiy,RU,68.75,161.3,67.17,28,0,18.79,clear sky
137,Kavieng,PG,-2.5744,150.7967,84.85,66,100,15.97,overcast clouds
138,Buritis,BR,-15.6178,-46.4233,72.86,41,0,2.15,clear sky
139,Salalah,OM,17.0151,54.0924,75.29,100,100,5.75,light intensity drizzle
140,Bogorodskoye,RU,56.55,37.8833,55.62,70,0,7.7,clear sky
141,Palu,ID,-0.8917,119.8707,87.85,61,11,1.72,few clouds
142,Aklavik,CA,68.2191,-135.0107,43.48,83,100,15.05,overcast clouds
143,Guerrero Negro,MX,27.9769,-114.0611,72.43,73,99,12.66,overcast clouds
144,Odweyne,SO,9.4092,45.064,72.91,50,98,14.72,overcast clouds
145,Saint-Philippe,RE,-21.3585,55.7679,66.22,79,38,12.97,scattered clouds
