City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Chongwe,ZM,64.24,clear sky,-15.3292,28.682,Grakas Lodge
190,Jvari,GE,67.75,overcast clouds,42.7169,42.052,Savanna House
192,Murgab,TM,73.11,clear sky,37.4966,61.9714,Wepa Nurlyýew
194,Ottawa,CA,73.74,scattered clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
195,Lewisporte,CA,67.55,broken clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
196,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
197,Ambon,ID,77.97,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
199,Najran,SA,79.43,few clouds,17.4924,44.1277,محمد هادي ال فطيح
200,Kirkenaer,NO,60.96,overcast clouds,60.4564,12.0582,Skaslien Gjestgiveri
203,Morondava,MG,70.39,clear sky,-20.2833,44.2833,La Case Bambou
205,Komsomolsk,UA,65.61,clear sky,49.0097,33.6455,Freddy 4 Nightmare
207,Garowe,SO,73.81,overcast clouds,8.4054,48.4845,Curubo Hotel
208,Bandarbeyla,SO,76.78,broken clouds,9.4942,50.8122,JABIR HOTEL
212,Ust-Tsilma,RU,62.1,clear sky,65.441,52.1498,U Praskov'i
215,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
220,Houma,US,79.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
221,Samarai,PG,79.41,overcast clouds,-10.6167,150.6667,Nuli Sapi
223,Anaimalai,IN,77.29,moderate rain,10.5833,76.9333,Mullai Farms
229,Khani,GE,63.97,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
230,Ler,SS,69.58,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
234,Rosetown,CA,77.9,broken clouds,51.5501,-108.0014,Travelodge by Wyndham Rosetown
238,Pointe-Noire,CG,70.34,broken clouds,-4.7761,11.8635,Kactus Lodge
240,Mao,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
242,Lagunas,PE,66.31,moderate rain,-5.2269,-75.6753,Hospedaje Eco
246,Northam,GB,60.62,few clouds,51.0333,-4.2167,Durrant House Hotel
247,Magaria,NE,75.45,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
251,Constantine,DZ,65.61,clear sky,36.365,6.6147,Grand Hotel Cirta
254,Torbay,CA,66.38,few clouds,47.6666,-52.7314,Gallows Cove
255,Antalaha,MG,66.92,broken clouds,-14.9003,50.2788,Hotel Vitasoa
256,Bjornevatn,NO,61.14,scattered clouds,69.6672,29.9847,Snowhotel Kirkenes & Gamme Northern Lights Cabins
258,Barranca,PE,60.15,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
260,Salinas,US,75.72,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
266,Charters Towers,AU,77.79,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
269,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
271,Gisborne,NZ,67.1,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
272,Faya,SA,64.92,few clouds,18.3851,42.4509,املاك خالد الشعشوع
274,Gitega,BI,60.91,scattered clouds,-3.5,29.95,Le QUINQUINA
278,Port Augusta,AU,60.75,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
281,Napierville,CA,76.78,scattered clouds,45.1865,-73.4047,Motel Souvenir (Sortie 21 Autoroute 15 Napierville)
286,Ponta Do Sol,PT,70.43,clear sky,32.6667,-17.1,Hotel do Campo
287,Gonen,TR,72.01,clear sky,40.1049,27.654,Gönen Palmiye Butik Pansiyon
290,Anloga,GH,74.77,light rain,5.7947,0.8973,Pin Drop Hotel
292,Thompson,CA,66.69,clear sky,55.7435,-97.8558,Burntwood Hotel
294,Saint-Pierre,RE,66.29,clear sky,-21.3393,55.4781,Alize Plage
295,Tonantins,BR,73.36,moderate rain,-2.8731,-67.8022,Hotel Hortensias
296,Ghatanji,IN,76.08,overcast clouds,20.1333,78.3167,गजानन माहराज मदील घाटजी
297,Pinar Del Rio,CU,79.03,clear sky,22.4175,-83.6981,Hostal La Colina Dunay y Raul
298,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
300,Ihlow,DE,66.47,broken clouds,51.8833,13.3333,Heumann
301,Alice Springs,AU,62.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
302,Tlaixpan,MX,63.1,overcast clouds,18.9,-97.7333,Hotel Terramar
304,Conde,BR,71.06,clear sky,-7.2597,-34.9075,Pousada Beija Flor
305,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
312,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
313,Abonnema,NG,74.01,light rain,4.7084,6.7931,Corper's Lodge Obonoma
314,Pemberton,CA,76.06,broken clouds,50.3164,-122.8027,Pemberton Valley Lodge
316,Baruun-Urt,MN,66.47,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
319,Sitka,US,62.49,clear sky,57.0531,-135.33,Westmark Sitka
320,Ahipara,NZ,63.99,clear sky,-35.1667,173.1667,Ahipara Holiday Park
324,Courtenay,CA,78.39,broken clouds,49.6866,-124.9936,Bayview Hotel
326,Bartica,GY,79.12,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
328,Vao,NC,68.65,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
330,Porto Novo,BJ,74.14,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
331,Gigante,CO,70.02,overcast clouds,2.3868,-75.5453,Bosques De Luna
333,Axim,GH,74.35,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
334,Carutapera,BR,78.13,overcast clouds,-1.195,-46.02,Lidera
335,Westport,US,76.91,clear sky,41.1415,-73.3579,The Westport Inn
336,Lompoc,US,68.85,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
339,Marfino,RU,62.94,clear sky,55.7028,37.3822,Nemchinovka-Park
340,Duki,PK,73.94,clear sky,30.1541,68.5728,ماسٹر رشید مرحوم
341,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
343,Prince Rupert,CA,62.29,fog,54.3161,-130.3201,Crest Hotel
344,Bonthe,SL,75.83,light rain,7.5264,-12.505,Bonthe Holiday Village
348,Geraldton,AU,64.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
349,Liberal,US,77.14,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
350,Goderich,CA,72.91,overcast clouds,43.7501,-81.7165,Harmony Inn
352,Dauphin,CA,68.14,clear sky,51.1494,-100.0502,Canway Inn & Suites
353,Somerville,US,78.33,clear sky,42.3876,-71.0995,La Quinta Inn & Suites by Wyndham Boston Somerville
357,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
359,Mossendjo,CG,65.25,broken clouds,-2.9506,12.7261,HOTEL D'ASSISE
360,Harjavalta,FI,64.13,overcast clouds,61.3167,22.1333,Hotelli Hiittenharju
366,El Sauzal,MX,70.41,scattered clouds,31.9,-116.6833,Hotel Las Rosas & Spa
368,Haines Junction,CA,60.75,few clouds,60.7522,-137.5108,Parkside Inn
370,Khombole,SN,79.61,light rain,14.7667,-16.7,Keur serigne Mansour Sy
372,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
